habitat,den_dists_rounded,process,n,proportion
Planktonic,1,Homogeneous selection,6,1
Planktonic,10,Homogeneous selection,8,0.6666666666666666
Planktonic,10,Variable selection,4,0.3333333333333333
Planktonic,100,Homogeneous selection,52,0.9285714285714286
Planktonic,100,Variable selection,4,0.07142857142857142
Planktonic,1000,Dispersal limitation,4,0.0425531914893617
Planktonic,1000,Homogeneous selection,70,0.7446808510638298
Planktonic,1000,Variable selection,20,0.2127659574468085
Planktonic,10000,Dispersal limitation,6,0.13043478260869565
Planktonic,10000,Homogeneous selection,6,0.13043478260869565
Planktonic,10000,Undominated,2,0.043478260869565216
Planktonic,10000,Variable selection,32,0.6956521739130435
Benthic,1,Homogeneous selection,4,0.5
Benthic,1,Undominated,2,0.25
Benthic,1,Variable selection,2,0.25
Benthic,10,Homogeneous selection,2,1
Benthic,100,Dispersal limitation,2,0.045454545454545456
Benthic,100,Homogeneous selection,36,0.8181818181818182
Benthic,100,Undominated,2,0.045454545454545456
Benthic,100,Variable selection,4,0.09090909090909091
Benthic,1000,Dispersal limitation,2,0.038461538461538464
Benthic,1000,Homogeneous selection,28,0.5384615384615384
Benthic,1000,Undominated,4,0.07692307692307693
Benthic,1000,Variable selection,18,0.34615384615384615
Benthic,10000,Dispersal limitation,2,0.07142857142857142
Benthic,10000,Homogeneous selection,18,0.6428571428571429
Benthic,10000,Undominated,4,0.14285714285714285
Benthic,10000,Variable selection,4,0.14285714285714285
Planktonic-Benthic,1,Dispersal limitation,6,0.6
Planktonic-Benthic,1,Variable selection,4,0.4
Planktonic-Benthic,10,Dispersal limitation,2,0.2
Planktonic-Benthic,10,Variable selection,8,0.8
Planktonic-Benthic,100,Dispersal limitation,18,0.15517241379310345
Planktonic-Benthic,100,Homogeneous selection,8,0.06896551724137931
Planktonic-Benthic,100,Variable selection,90,0.7758620689655172
Planktonic-Benthic,1000,Dispersal limitation,14,0.10144927536231885
Planktonic-Benthic,1000,Homogeneous selection,8,0.057971014492753624
Planktonic-Benthic,1000,Undominated,2,0.014492753623188406
Planktonic-Benthic,1000,Variable selection,114,0.8260869565217391
Planktonic-Benthic,10000,Dispersal limitation,4,0.05405405405405406
Planktonic-Benthic,10000,Variable selection,70,0.9459459459459459
Planktonic-Benthic,1,Homogeneous selection,NA,0
Planktonic-Benthic,10,Homogeneous selection,NA,0
Planktonic-Benthic,10000,Homogeneous selection,NA,0
Planktonic,1,Variable selection,NA,0
Benthic,10,Variable selection,NA,0
Planktonic,1,Dispersal limitation,NA,0
Benthic,1,Dispersal limitation,NA,0
Planktonic,10,Dispersal limitation,NA,0
Benthic,10,Dispersal limitation,NA,0
Planktonic,100,Dispersal limitation,NA,0
Planktonic,1,Undominated,NA,0
Planktonic-Benthic,1,Undominated,NA,0
Planktonic,10,Undominated,NA,0
Benthic,10,Undominated,NA,0
Planktonic-Benthic,10,Undominated,NA,0
Planktonic,100,Undominated,NA,0
Planktonic-Benthic,100,Undominated,NA,0
Planktonic,1000,Undominated,NA,0
Planktonic-Benthic,10000,Undominated,NA,0
